,text,label,category,original_text,target
0,#usanews   hurricane irma causes damage across the caribbean     video,other_relevant_information,noneq_nonnum,#USANews - Hurricane Irma Causes Damage Across the Caribbean() - Video,0
1,#thecube   several days after the wildfires killed more than 80 people in greece  a thunderstorm brought more destruction to parts of the same region yesterday  many are asking for answers for why these disasters are so destructive   has more,injured_or_dead_people,noneq_num,"#TheCube | Several days after the wildfires killed more than 80 people in Greece, a thunderstorm brought more destruction to parts of the same region yesterday. Many are asking for answers for why these disasters are so destructive. @NewsAMorgan has more.",0
2,is working to assess damage  aid in rescue efforts and build quick relief projects #mexicoearthquake http,rescue_volunteering_or_donation_effort,eq_nonnum,"RT @worldvisioncan: .@WorldVisionMx is working to assess damage, aid in rescue efforts &amp; build quick relief projects #MexicoEarthquake http",0
3,live updates  death toll rises in mexico after powerful offshore earthquake,injured_or_dead_people,noneq_num,Live Updates: Death Toll Rises In Mexico After Powerful Offshore Earthquake,0
4,120 victims now and i just want to cry    #prayforitaly,injured_or_dead_people,eq_num,120 victims now and I just want to cry.. #PrayForItaly,1
5,support for hurricane irma relief via,rescue_volunteering_or_donation_effort,noneq_nonnum,Support for Hurricane Irma Relief  via @SamLaFantasie,0
6,prayers for #italyearthquake victims during mass at church in the north end in #boston,sympathy_and_support,eq_nonnum,RT @fox25news: Prayers for #ItalyEarthquake victims during mass at church in the North End in #Boston  /,0
7,aerial footage taken by the coast guard during search and rescue operations shows the severe flooding across texas due to hurricane #harvey,rescue_volunteering_or_donation_effort,noneq_nonnum,Aerial footage taken by the Coast Guard during search and rescue operations shows the severe flooding across Texas due to Hurricane #Harvey.,0
8,the agape family care team and partners packing blankets and packaging donated clothes into bails for the cyclone idai victims  #cycloneidai #afc #loveinaction,rescue_volunteering_or_donation_effort,noneq_nonnum,The Agape Family Care team and partners packing blankets and packaging donated clothes into bails for the Cyclone Idai victims. #CycloneIdai #AFC #loveinaction,0
9,#prayforitaly my country  my love  i hope god can hear all our messages and helps us through this moment  dear god please help us,sympathy_and_support,eq_nonnum,#PrayForItaly my country. my love. I hope God can hear all our messages and helps us through this moment. Dear God please help us,0
10,more than 230 dead confirmed  1000s injured or under collapsed buildings  factories and roads destroyed  thinking of you #ecuad,injured_or_dead_people,eq_num,"RT @PacariUK: More than 230 dead confirmed, 1000s injured or under collapsed buildings, factories &amp; roads destroyed. Thinking of you #Ecuad",1
11,#greece wildfires  74 officially confirmed deaths  more than 200 injured  some in critical condition  and a still unknown number of people who are unaccounted for  colleagues of my wife  who serve with the red cross  fear that the final toll will be well over 100,injured_or_dead_people,noneq_num,"#Greece wildfires. 74 officially confirmed deaths, more than 200 injured (some in critical condition) and a still unknown number of people who are unaccounted for. Colleagues of my wife, who serve with the Red Cross, fear that the final toll will be well over 100.",0
